freq,dist,heigth,PL,RX,veg_depth,los_nlos,ea
27,88.1,49,108.7968333,RX1,6.36,1,5897.55168
27,80.8,49,108.2768333,RX2,2.57,1,962.99442
27,82.8,49,110.6801667,RX4,0,0,0
27,98.8,49,109.8935,RX5,0,0,0
27,97.8,53,108.4668333,RX6,0,0,0
27,83.5,53,110.0535,RX7,0,0,0
27,72.8,53,108.3568333,RX8,0,0,0
27,75.9,52,107.4101667,RX9,0,0,0
27,60,53,108.2501667,RX10,1.23,1,220.58082
27,55.2,53,104.4368333,RX11,0,0,0
27,54.3,52,106.6435,RX12,0,0,0
27,173.7,39,115.4635,RX14,0,0,0
27,159.1,46,114.4635,RX15,0,0,0
27,126.5,49,113.0135,RX16,2.24,1,731.56608
27,65.8,21,106.1535,RX17,0,0,0
27,66.1,21,106.1835,RX18,0,0,0
27,83.8,21,107.8735,RX19,0,0,0
27,106.1,15,110.6135,RX20,0,0,0
27,94.8,15,108.3068333,RX21,0,0,0
27,271,41,118.1868333,RX22,0,0,0
27,234.7,41,118.6168333,RX23,0,0,0
28,88.1,49,107.594,RX1,6.36,1,6342.49728
28,80.8,49,107.864,RX2,2.57,1,1035.64832
28,82.8,49,111.0873333,RX4,0,0,0
28,98.8,49,109.1606667,RX5,0,0,0
28,97.8,53,108.1073333,RX6,0,0,0
28,83.5,53,109.6673333,RX7,0,0,0
28,72.8,53,109.7206667,RX8,0,0,0
28,75.9,52,106.314,RX9,0,0,0
28,60,53,105.0806667,RX10,1.23,1,237.22272
28,55.2,53,101.884,RX11,0,0,0
28,54.3,52,105.9606667,RX12,0,0,0
28,173.7,39,113.6673333,RX14,0,0,0
28,159.1,46,112.6673333,RX15,0,0,0
28,126.5,49,111.0706667,RX16,2.24,1,786.75968
28,65.8,21,109.8006667,RX17,0,0,0
28,66.1,21,105.5373333,RX18,0,0,0
28,83.8,21,106.8206667,RX19,0,0,0
28,106.1,15,109.694,RX20,0,0,0
28,94.8,15,107.2173333,RX21,0,0,0
28,271,41,121.1373333,RX22,0,0,0
28,234.7,41,119.4106667,RX23,0,0,0
29,88.1,49,116.3145,RX1,6.36,1,6803.62272
29,80.8,49,114.0278333,RX2,2.57,1,1110.94418
29,82.8,49,112.3345,RX4,0,0,0
29,98.8,49,114.2611667,RX5,0,0,0
29,97.8,53,110.0411667,RX6,0,0,0
29,83.5,53,109.8678333,RX7,0,0,0
29,72.8,53,116.1645,RX8,0,0,0
29,75.9,52,110.4411667,RX9,0,0,0
29,60,53,110.6411667,RX10,1.23,1,254.46978
29,55.2,53,107.1645,RX11,0,0,0
29,54.3,52,111.0611667,RX12,0,0,0
29,173.7,39,118.5411667,RX14,0,0,0
29,159.1,46,117.5411667,RX15,0,0,0
29,126.5,49,115.7911667,RX16,2.24,1,843.96032
29,65.8,21,102.3978333,RX17,0,0,0
29,66.1,21,107.2345,RX18,0,0,0
29,83.8,21,109.6811667,RX19,0,0,0
29,106.1,15,109.0478333,RX20,0,0,0
29,94.8,15,107.9045,RX21,0,0,0
29,271,41,116.5111667,RX22,0,0,0
29,234.7,41,115.9378333,RX23,0,0,0
30,88.1,49,114.375,RX1,6.36,1,7280.928
30,80.8,49,109.4316667,RX2,2.57,1,1188.882
30,82.8,49,112.2683333,RX4,0,0,0
30,98.8,49,112.815,RX5,0,0,0
30,97.8,53,109.1716667,RX6,0,0,0
30,83.5,53,110.9183333,RX7,0,0,0
30,72.8,53,115.5683333,RX8,0,0,0
30,75.9,52,107.415,RX9,0,0,0
30,60,53,108.5983333,RX10,1.23,1,272.322
30,55.2,53,104.445,RX11,0,0,0
30,54.3,52,109.235,RX12,0,0,0
30,173.7,39,117.7016667,RX14,0,0,0
30,159.1,46,116.7016667,RX15,0,0,0
30,126.5,49,113.7116667,RX16,2.24,1,903.168
30,65.8,21,106.445,RX17,0,0,0
30,66.1,21,107.4116667,RX18,0,0,0
30,83.8,21,108.3383333,RX19,0,0,0
30,106.1,15,111.5916667,RX20,0,0,0
30,94.8,15,109.5683333,RX21,0,0,0
30,271,41,118.3116667,RX22,0,0,0
30,234.7,41,117.7816667,RX23,0,0,0
31,88.1,49,113.3388333,RX1,6.36,1,7774.41312
31,80.8,49,110.9188333,RX2,2.57,1,1269.46178
31,82.8,49,113.3321667,RX4,0,0,0
31,98.8,49,114.8288333,RX5,0,0,0
31,97.8,53,109.6121667,RX6,0,0,0
31,83.5,53,110.7521667,RX7,0,0,0
31,72.8,53,115.4988333,RX8,0,0,0
31,75.9,52,110.2121667,RX9,0,0,0
31,60,53,112.3421667,RX10,1.23,1,290.77938
31,55.2,53,108.2888333,RX11,0,0,0
31,54.3,52,110.0221667,RX12,0,0,0
31,173.7,39,122.0821667,RX14,0,0,0
31,159.1,46,121.0821667,RX15,0,0,0
31,126.5,49,118.9155,RX16,2.24,1,964.38272
31,65.8,21,102.0488333,RX17,0,0,0
31,66.1,21,107.4155,RX18,0,0,0
31,83.8,21,110.3955,RX19,0,0,0
31,106.1,15,110.7121667,RX20,0,0,0
31,94.8,15,109.6255,RX21,0,0,0
31,271,41,117.5288333,RX22,0,0,0
31,234.7,41,116.4121667,RX23,0,0,0
32,88.1,49,115.8793333,RX1,6.36,1,8284.07808
32,80.8,49,110.166,RX2,2.57,1,1352.68352
32,82.8,49,111.306,RX4,0,0,0
32,98.8,49,111.676,RX5,0,0,0
32,97.8,53,109.376,RX6,0,0,0
32,83.5,53,110.526,RX7,0,0,0
32,72.8,53,113.2493333,RX8,0,0,0
32,75.9,52,109.486,RX9,0,0,0
32,60,53,109.9093333,RX10,1.23,1,309.84192
32,55.2,53,104.6526667,RX11,0,0,0
32,54.3,52,107.196,RX12,0,0,0
32,173.7,39,119.616,RX14,0,0,0
32,159.1,46,118.616,RX15,0,0,0
32,126.5,49,113.816,RX16,2.24,1,1027.60448
32,65.8,21,105.416,RX17,0,0,0
32,66.1,21,107.0826667,RX18,0,0,0
32,83.8,21,108.4593333,RX19,0,0,0
32,106.1,15,112.026,RX20,0,0,0
32,94.8,15,109.7626667,RX21,0,0,0
32,271,41,118.3226667,RX22,0,0,0
32,234.7,41,117.416,RX23,0,0,0
33,88.1,49,113.0965,RX1,6.36,1,8809.92288
33,80.8,49,109.1498333,RX2,2.57,1,1438.54722
33,82.8,49,116.0031667,RX4,0,0,0
33,98.8,49,111.0598333,RX5,0,0,0
33,97.8,53,110.3165,RX6,0,0,0
33,83.5,53,111.2998333,RX7,0,0,0
33,72.8,53,113.4198333,RX8,0,0,0
33,75.9,52,110.1431667,RX9,0,0,0
33,60,53,110.5865,RX10,1.23,1,329.50962
33,55.2,53,105.1298333,RX11,0,0,0
33,54.3,52,109.0498333,RX12,0,0,0
33,173.7,39,120.6798333,RX14,0,0,0
33,159.1,46,119.6798333,RX15,0,0,0
33,126.5,49,116.6498333,RX16,2.24,1,1092.83328
33,65.8,21,105.9765,RX17,0,0,0
33,66.1,21,107.6331667,RX18,0,0,0
33,83.8,21,109.2631667,RX19,0,0,0
33,106.1,15,111.1831667,RX20,0,0,0
33,94.8,15,108.6865,RX21,0,0,0
33,271,41,119.5465,RX22,0,0,0
33,234.7,41,117.2898333,RX23,0,0,0
34,88.1,49,111.977,RX1,6.36,1,9351.94752
34,80.8,49,107.3103333,RX2,2.57,1,1527.05288
34,82.8,49,110.0903333,RX4,0,0,0
34,98.8,49,109.417,RX5,0,0,0
34,97.8,53,109.407,RX6,0,0,0
34,83.5,53,110.777,RX7,0,0,0
34,72.8,53,110.7203333,RX8,0,0,0
34,75.9,52,108.027,RX9,0,0,0
34,60,53,108.6536667,RX10,1.23,1,349.78248
34,55.2,53,103.1436667,RX11,0,0,0
34,54.3,52,106.507,RX12,0,0,0
34,173.7,39,118.187,RX14,0,0,0
34,159.1,46,117.187,RX15,0,0,0
34,126.5,49,114.8003333,RX16,2.24,1,1160.06912
34,65.8,21,106.2436667,RX17,0,0,0
34,66.1,21,107.2936667,RX18,0,0,0
34,83.8,21,107.8436667,RX19,0,0,0
34,106.1,15,112.5736667,RX20,0,0,0
34,94.8,15,109.757,RX21,0,0,0
34,271,41,118.9203333,RX22,0,0,0
34,234.7,41,117.3103333,RX23,0,0,0
35,88.1,49,110.6275,RX1,6.36,1,9910.152
35,80.8,49,107.7341667,RX2,2.57,1,1618.2005
35,82.8,49,111.2141667,RX4,0,0,0
35,98.8,49,113.7075,RX5,0,0,0
35,97.8,53,109.5675,RX6,0,0,0
35,83.5,53,110.6875,RX7,0,0,0
35,72.8,53,116.0608333,RX8,0,0,0
35,75.9,52,107.7675,RX9,0,0,0
35,60,53,111.3075,RX10,1.23,1,370.6605
35,55.2,53,105.8141667,RX11,0,0,0
35,54.3,52,110.9175,RX12,0,0,0
35,173.7,39,121.5975,RX14,0,0,0
35,159.1,46,120.5975,RX15,0,0,0
35,126.5,49,115.8275,RX16,2.24,1,1229.312
35,65.8,21,103.7308333,RX17,0,0,0
35,66.1,21,107.5308333,RX18,0,0,0
35,83.8,21,110.1008333,RX19,0,0,0
35,106.1,15,109.8941667,RX20,0,0,0
35,94.8,15,109.1241667,RX21,0,0,0
35,271,41,117.4308333,RX22,0,0,0
35,234.7,41,118.8408333,RX23,0,0,0
36,88.1,49,110.148,RX1,6.36,1,10484.53632
36,80.8,49,108.6713333,RX2,2.57,1,1711.99008
36,82.8,49,114.0913333,RX4,0,0,0
36,98.8,49,110.088,RX5,0,0,0
36,97.8,53,107.378,RX6,0,0,0
36,83.5,53,109.848,RX7,0,0,0
36,72.8,53,113.8213333,RX8,0,0,0
36,75.9,52,107.4246667,RX9,0,0,0
36,60,53,108.608,RX10,1.23,1,392.14368
36,55.2,53,103.8446667,RX11,0,0,0
36,54.3,52,105.8046667,RX12,0,0,0
36,173.7,39,117.8713333,RX14,0,0,0
36,159.1,46,116.8713333,RX15,0,0,0
36,126.5,49,111.5546667,RX16,2.24,1,1300.56192
36,65.8,21,106.6913333,RX17,0,0,0
36,66.1,21,107.148,RX18,0,0,0
36,83.8,21,107.2213333,RX19,0,0,0
36,106.1,15,111.6446667,RX20,0,0,0
36,94.8,15,109.5846667,RX21,0,0,0
36,271,41,119.2046667,RX22,0,0,0
36,234.7,41,116.268,RX23,0,0,0
37,88.1,49,110.2785,RX1,6.36,1,11075.10048
37,80.8,49,109.1785,RX2,2.57,1,1808.42162
37,82.8,49,111.7451667,RX4,0,0,0
37,98.8,49,110.9018333,RX5,0,0,0
37,97.8,53,107.4751667,RX6,0,0,0
37,83.5,53,109.7951667,RX7,0,0,0
37,72.8,53,110.1785,RX8,0,0,0
37,75.9,52,107.6851667,RX9,0,0,0
37,60,53,108.4585,RX10,1.23,1,414.23202
37,55.2,53,104.8718333,RX11,0,0,0
37,54.3,52,107.9551667,RX12,0,0,0
37,173.7,39,119.3951667,RX14,0,0,0
37,159.1,46,118.3951667,RX15,0,0,0
37,126.5,49,112.9351667,RX16,2.24,1,1373.81888
37,65.8,21,106.9151667,RX17,0,0,0
37,66.1,21,105.9251667,RX18,0,0,0
37,83.8,21,107.5418333,RX19,0,0,0
37,106.1,15,110.8651667,RX20,0,0,0
37,94.8,15,108.4618333,RX21,0,0,0
37,271,41,119.8451667,RX22,0,0,0
37,234.7,41,116.9851667,RX23,0,0,0
38,88.1,49,110.0656667,RX1,6.36,1,11681.84448
38,80.8,49,108.6223333,RX2,2.57,1,1907.49512
38,82.8,49,111.649,RX4,0,0,0
38,98.8,49,109.049,RX5,0,0,0
38,97.8,53,108.4723333,RX6,0,0,0
38,83.5,53,109.8423333,RX7,0,0,0
38,72.8,53,112.979,RX8,0,0,0
38,75.9,52,109.4556667,RX9,0,0,0
38,60,53,109.5723333,RX10,1.23,1,436.92552
38,55.2,53,104.5723333,RX11,0,0,0
38,54.3,52,107.1256667,RX12,0,0,0
38,173.7,39,117.8656667,RX14,0,0,0
38,159.1,46,116.8656667,RX15,0,0,0
38,126.5,49,115.429,RX16,2.24,1,1449.08288
38,65.8,21,107.849,RX17,0,0,0
38,66.1,21,107.2756667,RX18,0,0,0
38,83.8,21,108.2656667,RX19,0,0,0
38,106.1,15,112.8623333,RX20,0,0,0
38,94.8,15,109.0223333,RX21,0,0,0
38,271,41,118.4623333,RX22,0,0,0
38,234.7,41,117.4256667,RX23,0,0,0
39,88.1,49,110.6128333,RX1,6.36,1,12304.76832
39,80.8,49,108.2161667,RX2,2.57,1,2009.21058
39,82.8,49,111.7461667,RX4,0,0,0
39,98.8,49,110.1261667,RX5,0,0,0
39,97.8,53,108.9895,RX6,0,0,0
39,83.5,53,109.2961667,RX7,0,0,0
39,72.8,53,111.2161667,RX8,0,0,0
39,75.9,52,110.3361667,RX9,0,0,0
39,60,53,109.9428333,RX10,1.23,1,460.22418
39,55.2,53,104.9061667,RX11,0,0,0
39,54.3,52,106.6161667,RX12,0,0,0
39,173.7,39,117.7628333,RX14,0,0,0
39,159.1,46,116.7628333,RX15,0,0,0
39,126.5,49,115.6961667,RX16,2.24,1,1526.35392
39,65.8,21,107.5295,RX17,0,0,0
39,66.1,21,106.9595,RX18,0,0,0
39,83.8,21,108.0528333,RX19,0,0,0
39,106.1,15,111.3928333,RX20,0,0,0
39,94.8,15,108.7761667,RX21,0,0,0
39,271,41,119.6428333,RX22,0,0,0
39,234.7,41,117.8595,RX23,0,0,0
40,88.1,49,111.8466667,RX1,6.36,1,12943.872
40,80.8,49,109.8433333,RX2,2.57,1,2113.568
40,82.8,49,111.2033333,RX4,0,0,0
40,98.8,49,111.2833333,RX5,0,0,0
40,97.8,53,108.5933333,RX6,0,0,0
40,83.5,53,110.22,RX7,0,0,0
40,72.8,53,111.41,RX8,0,0,0
40,75.9,52,108.5933333,RX9,0,0,0
40,60,53,109.54,RX10,1.23,1,484.128
40,55.2,53,106.8166667,RX11,0,0,0
40,54.3,52,107.4133333,RX12,0,0,0
40,173.7,39,120.6433333,RX14,0,0,0
40,159.1,46,119.6433333,RX15,0,0,0
40,126.5,49,116.6033333,RX16,2.24,1,1605.632
40,65.8,21,108.94,RX17,0,0,0
40,66.1,21,108.4,RX18,0,0,0
40,83.8,21,109.8366667,RX19,0,0,0
40,106.1,15,111.6333333,RX20,0,0,0
40,94.8,15,110.46,RX21,0,0,0
40,271,41,120,RX22,0,0,0
40,234.7,41,119.5,RX23,0,0,0
