f,d,dx,dy,nw,PL
26.5,6.59,6.3,1.94,0.5,112.1982
26.5,11.76,11.6,1.93,0.5,115.7627
26.5,9.04,8.9,1.6,0.75,122.5733
26.5,4.25,3.6,2.25,0.25,104.3808
26.5,3.5,2.7,2.22,0.25,100.786
26.5,4,4,0.01,0.25,81.9267
26.5,4.83,4.35,2.1,0.25,91.5933
26.5,5.78,5.3,2.3,0.75,116.58
26.5,11.57,2,11.4,0.75,113.2005
26.5,3.99,3.58,1.76,0.25,89.4339
26.5,5.21,4.27,2.98,0.25,102.9775
26.5,8.43,7.55,3.74,0.75,120.1363
26.5,8.43,7.55,3.74,0.75,125.2542
26.5,6.71,5.87,3.25,0.5,102.9924
26.5,10.46,10.3,1.8,0.5,93.5282
26.5,12.48,12.3,2.09,0.75,131.6461
26.5,9.68,9.3,2.69,0.5,114.0564
26.5,2.57,0,2.57,0.25,95.1069
26.5,7.36,6.9,2.57,0.5,112.1752
26.5,5.95,5.3,2.7,0.25,105.7301
26.5,5.14,4.5,2.48,0.5,108.3002
26.5,3.8,2.68,2.7,0.5,96.7682
26.5,11.03,10.8,2.25,0.5,120.0855
26.5,4.83,4.35,2.1,0.25,91.9898
26.5,4.42,3.5,2.7,0.25,92.2679
26.5,4.37,4.14,1.4,0.25,83.2539
26.5,7.02,6.17,3.35,0.5,103.2138
26.5,7.91,7.5,2.5,0.75,119.8725
26.5,5.37,4.89,2.21,0.75,115.7939
26.5,7.69,7.55,1.45,0.25,110.199
26.5,3.35,2.17,2.55,0.25,100.9895
26.5,9.98,9.9,1.28,0.75,113.5061
26.5,3.91,3.3,2.1,0.25,93.3649
26.5,4.37,4.14,1.4,0.5,117.0176
26.5,6.39,4.01,4.97,0.25,101.696
26.5,10.31,10.05,2.31,0.5,118.1767
26.5,6.93,6.6,2.1,0.75,126.8019
26.5,12.5,12.5,0,0.75,122.3467
26.5,4,4,0.01,0.25,78.6567
26.5,8.9,8.9,0,0.75,118.6767
27,6.59,6.3,1.94,0.5,114.5160606
27,11.76,11.6,1.93,0.5,124.2514583
27,9.04,8.9,1.6,0.75,119.81
27,4.25,3.6,2.25,0.25,105.0861458
27,3.5,2.7,2.22,0.25,100.6949123
27,4,4,0.01,0.25,81.12666667
27,4.83,4.35,2.1,0.25,94.12
27,5.78,5.3,2.3,0.75,124.96
27,11.57,2,11.4,0.75,104.1026667
27,3.99,3.58,1.76,0.25,87.61583333
27,5.21,4.27,2.98,0.25,106.7725641
27,8.43,7.55,3.74,0.75,128.4378788
27,8.43,7.55,3.74,0.75,126.2215152
27,6.71,5.87,3.25,0.5,109.8162745
27,10.46,10.3,1.8,0.5,95.70076923
27,12.48,12.3,2.09,0.75,131.4533333
27,9.68,9.3,2.69,0.5,113.6080392
27,2.57,0,2.57,0.25,92.1554955
27,7.36,6.9,2.57,0.5,112.129697
27,5.95,5.3,2.7,0.25,96.51019048
27,5.14,4.5,2.48,0.5,112.8117204
27,3.8,2.68,2.7,0.5,95.39489583
27,11.03,10.8,2.25,0.5,117.5618627
27,4.83,4.35,2.1,0.25,92.79864583
27,4.42,3.5,2.7,0.25,93.27225225
27,4.37,4.14,1.4,0.25,83.33539216
27,7.02,6.17,3.35,0.5,104.7971569
27,7.91,7.5,2.5,0.75,126.1879675
27,5.37,4.89,2.21,0.75,121.2364583
27,7.69,7.55,1.45,0.25,93.38428571
27,3.35,2.17,2.55,0.25,101.3773958
27,9.98,9.9,1.28,0.75,110.7955208
27,3.91,3.3,2.1,0.25,92.54927083
27,4.37,4.14,1.4,0.5,116.9245455
27,6.39,4.01,4.97,0.25,99.506
27,10.31,10.05,2.31,0.5,128.4206061
27,6.93,6.6,2.1,0.75,130.7262745
27,12.5,12.5,0,0.75,121.2933333
27,4,4,0.01,0.25,79.61666667
27,8.9,8.9,0,0.75,127.6233333
27.5,6.59,6.3,1.94,0.5,124.6102778
27.5,11.76,11.6,1.93,0.5,122.3192708
27.5,9.04,8.9,1.6,0.75,130.4533333
27.5,4.25,3.6,2.25,0.25,104.5339394
27.5,3.5,2.7,2.22,0.25,103.5888172
27.5,4,4,0.01,0.25,83.67333333
27.5,4.83,4.35,2.1,0.25,98.39333333
27.5,5.78,5.3,2.3,0.75,125.52
27.5,11.57,2,11.4,0.75,113.1270833
27.5,3.99,3.58,1.76,0.25,97.26833333
27.5,5.21,4.27,2.98,0.25,108.9024762
27.5,8.43,7.55,3.74,0.75,123.829
27.5,8.43,7.55,3.74,0.75,132.5342424
27.5,6.71,5.87,3.25,0.5,113.9688889
27.5,10.46,10.3,1.8,0.5,100.410303
27.5,12.48,12.3,2.09,0.75,133.3875269
27.5,9.68,9.3,2.69,0.5,125.3612121
27.5,2.57,0,2.57,0.25,91.54104762
27.5,7.36,6.9,2.57,0.5,116.0215686
27.5,5.95,5.3,2.7,0.25,101.2564583
27.5,5.14,4.5,2.48,0.5,110.1092708
27.5,3.8,2.68,2.7,0.5,95.98645833
27.5,11.03,10.8,2.25,0.5,133.5974359
27.5,4.83,4.35,2.1,0.25,96.37895833
27.5,4.42,3.5,2.7,0.25,96.20397849
27.5,4.37,4.14,1.4,0.25,85.64494624
27.5,7.02,6.17,3.35,0.5,109.7055914
27.5,7.91,7.5,2.5,0.75,134.1154955
27.5,5.37,4.89,2.21,0.75,127.7942708
27.5,7.69,7.55,1.45,0.25,100.0611905
27.5,3.35,2.17,2.55,0.25,100.1933333
27.5,9.98,9.9,1.28,0.75,112.7767708
27.5,3.91,3.3,2.1,0.25,98.07020833
27.5,4.37,4.14,1.4,0.5,122.4563636
27.5,6.39,4.01,4.97,0.25,99.50424242
27.5,10.31,10.05,2.31,0.5,117.848
27.5,6.93,6.6,2.1,0.75,132.3813333
27.5,12.5,12.5,0,0.75,123.0766667
27.5,4,4,0.01,0.25,82.20333333
27.5,8.9,8.9,0,0.75,134.34
28,6.59,6.3,1.94,0.5,130.8137255
28,11.76,11.6,1.93,0.5,119.7208974
28,9.04,8.9,1.6,0.75,127.3166667
28,4.25,3.6,2.25,0.25,110.8560417
28,3.5,2.7,2.22,0.25,98.20344086
28,4,4,0.01,0.25,82.77666667
28,4.83,4.35,2.1,0.25,99.58666667
28,5.78,5.3,2.3,0.75,119.5166667
28,11.57,2,11.4,0.75,111.6020513
28,3.99,3.58,1.76,0.25,98.17885417
28,5.21,4.27,2.98,0.25,98.82693694
28,8.43,7.55,3.74,0.75,124.0690909
28,8.43,7.55,3.74,0.75,131.9507292
28,6.71,5.87,3.25,0.5,116.1812121
28,10.46,10.3,1.8,0.5,100.2612381
28,12.48,12.3,2.09,0.75,133.8895238
28,9.68,9.3,2.69,0.5,120.2041026
28,2.57,0,2.57,0.25,94.25111111
28,7.36,6.9,2.57,0.5,121.7751961
28,5.95,5.3,2.7,0.25,99.94931373
28,5.14,4.5,2.48,0.5,105.2366667
28,3.8,2.68,2.7,0.5,96.18151515
28,11.03,10.8,2.25,0.5,117.3552778
28,4.83,4.35,2.1,0.25,94.99130952
28,4.42,3.5,2.7,0.25,94.67460784
28,4.37,4.14,1.4,0.25,85.28510417
28,7.02,6.17,3.35,0.5,109.8360417
28,7.91,7.5,2.5,0.75,133.6179825
28,5.37,4.89,2.21,0.75,128.2351042
28,7.69,7.55,1.45,0.25,103.2916667
28,3.35,2.17,2.55,0.25,99.10380952
28,9.98,9.9,1.28,0.75,115.3472549
28,3.91,3.3,2.1,0.25,96.08541667
28,4.37,4.14,1.4,0.5,121.1646078
28,6.39,4.01,4.97,0.25,101.1293939
28,10.31,10.05,2.31,0.5,121.8347917
28,6.93,6.6,2.1,0.75,132.8166667
28,12.5,12.5,0,0.75,122.6566667
28,4,4,0.01,0.25,78.05666667
28,8.9,8.9,0,0.75,126.4833333
28.5,6.59,6.3,1.94,0.5,117.7211765
28.5,11.76,11.6,1.93,0.5,113.2603226
28.5,9.04,8.9,1.6,0.75,115.9966667
28.5,4.25,3.6,2.25,0.25,108.5109677
28.5,3.5,2.7,2.22,0.25,92.61354839
28.5,4,4,0.01,0.25,76.55666667
28.5,4.83,4.35,2.1,0.25,111.7533333
28.5,5.78,5.3,2.3,0.75,120.6566667
28.5,11.57,2,11.4,0.75,105.7634483
28.5,3.99,3.58,1.76,0.25,89.2478125
28.5,5.21,4.27,2.98,0.25,99.82
28.5,8.43,7.55,3.74,0.75,118.7141379
28.5,8.43,7.55,3.74,0.75,120.4854839
28.5,6.71,5.87,3.25,0.5,102.2174286
28.5,10.46,10.3,1.8,0.5,91.84771429
28.5,12.48,12.3,2.09,0.75,125.3509091
28.5,9.68,9.3,2.69,0.5,109.30625
28.5,2.57,0,2.57,0.25,81.41705882
28.5,7.36,6.9,2.57,0.5,102.4970588
28.5,5.95,5.3,2.7,0.25,99.49742857
28.5,5.14,4.5,2.48,0.5,102.5097143
28.5,3.8,2.68,2.7,0.5,91.20375
28.5,11.03,10.8,2.25,0.5,117.6842105
28.5,4.83,4.35,2.1,0.25,87.71363636
28.5,4.42,3.5,2.7,0.25,87.5828125
28.5,4.37,4.14,1.4,0.25,77.97575758
28.5,7.02,6.17,3.35,0.5,100.0534375
28.5,7.91,7.5,2.5,0.75,122.0567647
28.5,5.37,4.89,2.21,0.75,118.53375
28.5,7.69,7.55,1.45,0.25,89.186
28.5,3.35,2.17,2.55,0.25,103.6072727
28.5,9.98,9.9,1.28,0.75,95.35242424
28.5,3.91,3.3,2.1,0.25,89.61483871
28.5,4.37,4.14,1.4,0.5,116.9375758
28.5,6.39,4.01,4.97,0.25,103.4477419
28.5,10.31,10.05,2.31,0.5,112.3142424
28.5,6.93,6.6,2.1,0.75,124.6671875
28.5,12.5,12.5,0,0.75,117.6666667
28.5,4,4,0.01,0.25,71.09
28.5,8.9,8.9,0,0.75,124.3833333
29,6.59,6.3,1.94,0.5,123.5461111
29,11.76,11.6,1.93,0.5,115.8653846
29,9.04,8.9,1.6,0.75,122.52
29,4.25,3.6,2.25,0.25,106.2360215
29,3.5,2.7,2.22,0.25,104.1031183
29,4,4,0.01,0.25,84.24666667
29,4.83,4.35,2.1,0.25,105.5366667
29,5.78,5.3,2.3,0.75,115.3233333
29,11.57,2,11.4,0.75,111.6806667
29,3.99,3.58,1.76,0.25,94.10575758
29,5.21,4.27,2.98,0.25,103.9225
29,8.43,7.55,3.74,0.75,121.0760215
29,8.43,7.55,3.74,0.75,127.2047799
29,6.71,5.87,3.25,0.5,111.1539394
29,10.46,10.3,1.8,0.5,98.81104167
29,12.48,12.3,2.09,0.75,128.8005128
29,9.68,9.3,2.69,0.5,108.4575238
29,2.57,0,2.57,0.25,88.18066667
29,7.36,6.9,2.57,0.5,110.3937255
29,5.95,5.3,2.7,0.25,104.0481373
29,5.14,4.5,2.48,0.5,105.7829167
29,3.8,2.68,2.7,0.5,101.0984848
29,11.03,10.8,2.25,0.5,117.5349524
29,4.83,4.35,2.1,0.25,93.95575758
29,4.42,3.5,2.7,0.25,94.43572917
29,4.37,4.14,1.4,0.25,84.10510417
29,7.02,6.17,3.35,0.5,106.8454545
29,7.91,7.5,2.5,0.75,127.6170115
29,5.37,4.89,2.21,0.75,125.200303
29,7.69,7.55,1.45,0.25,107.459
29,3.35,2.17,2.55,0.25,100.09
29,9.98,9.9,1.28,0.75,102.6148485
29,3.91,3.3,2.1,0.25,96.20380952
29,4.37,4.14,1.4,0.5,124.7219608
29,6.39,4.01,4.97,0.25,104.7622917
29,10.31,10.05,2.31,0.5,119.6432292
29,6.93,6.6,2.1,0.75,125.1502151
29,12.5,12.5,0,0.75,122.59
29,4,4,0.01,0.25,78.41666667
29,8.9,8.9,0,0.75,130.13
29.5,6.59,6.3,1.94,0.5,133.0957576
29.5,11.76,11.6,1.93,0.5,134.2890909
29.5,9.04,8.9,1.6,0.75,128.7366667
29.5,4.25,3.6,2.25,0.25,107.8263542
29.5,3.5,2.7,2.22,0.25,102.322
29.5,4,4,0.01,0.25,89.30666667
29.5,4.83,4.35,2.1,0.25,106.7933333
29.5,5.78,5.3,2.3,0.75,127.9566667
29.5,11.57,2,11.4,0.75,114.1738095
29.5,3.99,3.58,1.76,0.25,96.69393939
29.5,5.21,4.27,2.98,0.25,102.3651515
29.5,8.43,7.55,3.74,0.75,125.8545455
29.5,8.43,7.55,3.74,0.75,127.6995699
29.5,6.71,5.87,3.25,0.5,125.8947917
29.5,10.46,10.3,1.8,0.5,101.2491667
29.5,12.48,12.3,2.09,0.75,132.6366667
29.5,9.68,9.3,2.69,0.5,117.6976042
29.5,2.57,0,2.57,0.25,87.12861111
29.5,7.36,6.9,2.57,0.5,118.0726126
29.5,5.95,5.3,2.7,0.25,109.8806667
29.5,5.14,4.5,2.48,0.5,103.7154167
29.5,3.8,2.68,2.7,0.5,107.7295238
29.5,11.03,10.8,2.25,0.5,116.8341667
29.5,4.83,4.35,2.1,0.25,97.94104167
29.5,4.42,3.5,2.7,0.25,97.3754902
29.5,4.37,4.14,1.4,0.25,87.80569892
29.5,7.02,6.17,3.35,0.5,105.0330303
29.5,7.91,7.5,2.5,0.75,128.7582796
29.5,5.37,4.89,2.21,0.75,126.6904167
29.5,7.69,7.55,1.45,0.25,116.6201961
29.5,3.35,2.17,2.55,0.25,113.1951961
29.5,9.98,9.9,1.28,0.75,106.1254545
29.5,3.91,3.3,2.1,0.25,100.8115152
29.5,4.37,4.14,1.4,0.5,125.5696078
29.5,6.39,4.01,4.97,0.25,107.2131183
29.5,10.31,10.05,2.31,0.5,133.1860215
29.5,6.93,6.6,2.1,0.75,134.7044086
29.5,12.5,12.5,0,0.75,125.48
29.5,4,4,0.01,0.25,80.03
29.5,8.9,8.9,0,0.75,131.8766667
30,6.59,6.3,1.94,0.5,126.2075238
30,11.76,11.6,1.93,0.5,129.8046154
30,9.04,8.9,1.6,0.75,132.4833333
30,4.25,3.6,2.25,0.25,109.3286022
30,3.5,2.7,2.22,0.25,105.7276042
30,4,4,0.01,0.25,97.37666667
30,4.83,4.35,2.1,0.25,101.1133333
30,5.78,5.3,2.3,0.75,124.5766667
30,11.57,2,11.4,0.75,127.7429167
30,3.99,3.58,1.76,0.25,99.31431373
30,5.21,4.27,2.98,0.25,107.7922549
30,8.43,7.55,3.74,0.75,128.2880952
30,8.43,7.55,3.74,0.75,134.4533333
30,6.71,5.87,3.25,0.5,120.9754167
30,10.46,10.3,1.8,0.5,103.2347917
30,12.48,12.3,2.09,0.75,134.2866667
30,9.68,9.3,2.69,0.5,117.0953763
30,2.57,0,2.57,0.25,88.00916667
30,7.36,6.9,2.57,0.5,113.2684314
30,5.95,5.3,2.7,0.25,103.8024242
30,5.14,4.5,2.48,0.5,121.1988542
30,3.8,2.68,2.7,0.5,104.7391228
30,11.03,10.8,2.25,0.5,124.8278431
30,4.83,4.35,2.1,0.25,100.1806061
30,4.42,3.5,2.7,0.25,99.73763441
30,4.37,4.14,1.4,0.25,88.91333333
30,7.02,6.17,3.35,0.5,103.6541667
30,7.91,7.5,2.5,0.75,134.8573333
30,5.37,4.89,2.21,0.75,132.3846667
30,7.69,7.55,1.45,0.25,108.0190909
30,3.35,2.17,2.55,0.25,103.0331373
30,9.98,9.9,1.28,0.75,113.2597917
30,3.91,3.3,2.1,0.25,101.6445455
30,4.37,4.14,1.4,0.5,127.2857576
30,6.39,4.01,4.97,0.25,119.8616667
30,10.31,10.05,2.31,0.5,124.311828
30,6.93,6.6,2.1,0.75,137.3869892
30,12.5,12.5,0,0.75,134.7366667
30,4,4,0.01,0.25,84.02333333
30,8.9,8.9,0,0.75,129.6833333
30.5,6.59,6.3,1.94,0.5,113.7836937
30.5,11.76,11.6,1.93,0.5,123.2113725
30.5,9.04,8.9,1.6,0.75,126.0333333
30.5,4.25,3.6,2.25,0.25,103.196
30.5,3.5,2.7,2.22,0.25,101.929
30.5,4,4,0.01,0.25,89.89
30.5,4.83,4.35,2.1,0.25,107.1633333
30.5,5.78,5.3,2.3,0.75,114.9666667
30.5,11.57,2,11.4,0.75,114.6628431
30.5,3.99,3.58,1.76,0.25,94.00696078
30.5,5.21,4.27,2.98,0.25,102.6187255
30.5,8.43,7.55,3.74,0.75,124.8516667
30.5,8.43,7.55,3.74,0.75,127.2735417
30.5,6.71,5.87,3.25,0.5,113.8669697
30.5,10.46,10.3,1.8,0.5,99.90910569
30.5,12.48,12.3,2.09,0.75,128.9066667
30.5,9.68,9.3,2.69,0.5,113.4148485
30.5,2.57,0,2.57,0.25,82.19016667
30.5,7.36,6.9,2.57,0.5,119.2222222
30.5,5.95,5.3,2.7,0.25,111.5613725
30.5,5.14,4.5,2.48,0.5,120.0229167
30.5,3.8,2.68,2.7,0.5,101.4739394
30.5,11.03,10.8,2.25,0.5,112.1543137
30.5,4.83,4.35,2.1,0.25,94.85545455
30.5,4.42,3.5,2.7,0.25,94.47041667
30.5,4.37,4.14,1.4,0.25,83.60215054
30.5,7.02,6.17,3.35,0.5,100.6510417
30.5,7.91,7.5,2.5,0.75,125.420303
30.5,5.37,4.89,2.21,0.75,130.1569792
30.5,7.69,7.55,1.45,0.25,102.9626042
30.5,3.35,2.17,2.55,0.25,102.9494792
30.5,9.98,9.9,1.28,0.75,104.4402151
30.5,3.91,3.3,2.1,0.25,95.88760417
30.5,4.37,4.14,1.4,0.5,121.689697
30.5,6.39,4.01,4.97,0.25,117.9372917
30.5,10.31,10.05,2.31,0.5,122.5048485
30.5,6.93,6.6,2.1,0.75,130.2714943
30.5,12.5,12.5,0,0.75,129.3566667
30.5,4,4,0.01,0.25,82.69
30.5,8.9,8.9,0,0.75,129.8133333
31,6.59,6.3,1.94,0.5,118.4613889
31,11.76,11.6,1.93,0.5,127.6829032
31,9.04,8.9,1.6,0.75,124.6433333
31,4.25,3.6,2.25,0.25,104.66375
31,3.5,2.7,2.22,0.25,105.4487097
31,4,4,0.01,0.25,97.70333333
31,4.83,4.35,2.1,0.25,106.6
31,5.78,5.3,2.3,0.75,120.1166667
31,11.57,2,11.4,0.75,118.2914815
31,3.99,3.58,1.76,0.25,94.92939394
31,5.21,4.27,2.98,0.25,100.0066667
31,8.43,7.55,3.74,0.75,127.9993333
31,8.43,7.55,3.74,0.75,129.9818421
